"id","login_uuid","username","password","email","register_date","last_login","update_date","section","exp_section","create_date"
61,"540a9565-331e-4ce5-83e7-6d200fcf19e7",police,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",police@hotmail.com,"2021-07-03 18:33:25 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 18:33:25 +00:00",,,"2021-07-03 18:33:25 +00:00"
62,"503676e9-12cc-4fd1-935a-74bdf911227f",qwre,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",qwre@hotmail.com,"2021-07-03 18:35:56 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 18:35:56 +00:00",,,"2021-07-03 18:35:56 +00:00"
63,a3f49fc2-ead2-4209-ae44-be52403cd133,tvhonda,"123456209-a",tvhonda@hotmail.com,"2021-07-03 18:43:18 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 18:43:18 +00:00",,,"2021-07-03 18:43:18 +00:00"
64,c8b594c6-925b-41d0-8a4c-1de666b5d45a,radio,f37591d14c76d89694b5676aeaee01d4288b11f9321f6711f1eb0347d3174a1e,radio@hotmail.com,"2021-07-03 18:44:25 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 18:44:25 +00:00",,,"2021-07-03 18:44:25 +00:00"
68,eaf54b64-5299-4b88-bb32-6f82944abf7d,radiofm,"306bf9d11453eed870b519cfb86a61ce16f434483d670f62c8b4ffd35f92c7d1",radiofm@hotmail.com,"2021-07-03 19:26:16 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 19:26:16 +00:00",,,"2021-07-03 19:26:16 +00:00"
69,"8cbe94c6-9be7-4909-b8d9-9f00f35a28cf",fixedV2,ff7a57c2f96864f777f16a9dd291403d2e93b587c2a36ef37298254492d88bec,fixedV2@hotmail.com,"2021-07-03 19:40:33 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 19:40:33 +00:00",,,"2021-07-03 19:40:33 +00:00"
71,"642c2595-69b4-4a54-82ef-2394ab94eeff",test123,"11fbea5608202656bc9ecec6967408dfb5bf3eb0a02273532e867937388dc527",test123@hotmail.com,"2021-07-04 13:35:21 +00:00","0001-01-01 00:00:00 +00:00","2021-07-04 13:35:21 +00:00",,,"2021-07-04 13:35:21 +00:00"
72,"57f65b7e-bb46-46af-a4d5-578f669ec479",wedsf,"9ba6a2ba52ff323816672fdcfbecfb91c978ce7787bf8bc44fbddec23cbff9c4",wedsf@hotmail.com,"2021-07-04 14:23:21 +00:00","0001-01-01 00:00:00 +00:00","2021-07-04 14:23:21 +00:00",,,"2021-07-04 14:23:21 +00:00"
74,fcc24a7e-c45a-402e-9081-e816b8f2a8e8,ovocado,"7336048eab30db098fc672287c92c3f636bc23ebc9b53ecb77c77cac52bc2f86",ovocado@hotmail.com,"2021-07-04 18:21:14 +00:00","0001-01-01 00:00:00 +00:00","2021-07-04 18:21:14 +00:00",,,"2021-07-04 18:21:14 +00:00"
56,"15baf151-ecf0-421b-8fb4-d2deb982abb1",demo21,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",redblue@hotmail.com,"2021-07-03 17:19:00 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 17:19:00 +00:00",,,"2021-07-03 17:19:00 +00:00"
76,ba094e44-92ab-4e29-89b3-a80ee4b98784,demo2,ea0e4a84d8e571cc76e466d11d903ba9d909546ddd25581c534bd9093c02ce25,demo2@demo.com,"2021-07-04 18:30:52 +00:00","2021-07-04 18:31:00.665079 +07:00","2021-07-04 18:30:52 +00:00","9ead7209-b9d4-4392-b52d-245cbe041ffe","2021-07-04 19:31:00.665079 +07:00","2021-07-04 18:30:52 +00:00"
77,"6a6ca574-766a-4873-bda7-4ae9869e9329",demo3,"4642f8613700d52fad3cecba098542a41bedb653f717164fd2193fe3c5a48999",demo3@demo.com,"2021-07-04 18:37:05 +00:00","2021-07-04 18:37:14.917776 +07:00","2021-07-04 18:37:05 +00:00",a1410ac9-00ac-47d7-b56c-8db8b832aee1,"2021-07-04 19:37:14.917776 +07:00","2021-07-04 18:37:05 +00:00"
60,"71cb63bf-568f-42e5-8b5e-6fd1d48e5adf",ragnarok999,"8d969eef6ecad3c29a3a629280e686cf0c3f5d5a86aff3ca12020c923adc6c92",ragnarok999@hotmail.com,"2021-07-03 18:27:09 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 18:27:09 +00:00",,,"2021-07-03 18:27:09 +00:00"
70,e7ccb3fd-da54-49c0-83ff-790327e29688,crystal123,"1ec1a7f47b2ba44785b8468183005da262ec824a9ed2ed7b72b191d84482bee7",crystal123@hotmail.com,"2021-07-03 20:54:24 +00:00","0001-01-01 00:00:00 +00:00","2021-07-03 20:54:24 +00:00",,,"2021-07-03 20:54:24 +00:00"
73,"11234a5d-a846-41d5-a944-16b7c047aa6e",demo1,d21c7dba7898b3aec272a5aef0d9c9573d5340c57f1600663573bd727f164247,demo1@demo.com,"2021-07-04 17:42:01 +00:00","2021-07-04 17:42:18.021453 +07:00","2021-07-04 17:42:01 +00:00","4f876a7d-bbe4-4f2a-96ef-56bca0f7d71a","2021-07-04 18:42:18.021453 +07:00","2021-07-04 17:42:01 +00:00"
